prompt,standard_english,ste
Identify and replace non-STE words with approved alternatives,the box is externally mounted.,the box is installed externally.
Identify and replace non-STE words with approved alternatives,damage can occur to the pump if there is a lack of oil in the reservoir.,damage can occur to the pump if there is not sufficient oil in the reservoir.
Identify and replace non-STE words with approved alternatives,the system secures the position electromagnetically.,the system holds the position electromagnetically.
Identify and replace non-STE words with approved alternatives,the seat is to be installed before you install the cushion.,"before you install the cushion, install the seat."
Identify and replace non-STE words with approved alternatives,"when the flaps reach the 30 degree position, install the rigging pin.","when the flaps are at the 30 degree position, install the rigging pin."
Identify and replace non-STE words with approved alternatives,set the frame on the ground.,put the frame on the floor.
Identify and replace non-STE words with approved alternatives,the turbine combusts fuel.,the turbine burns fuel.
Identify and replace non-STE words with approved alternatives,do not handle the printed circuit card.,do not touch the printed circuit card.
Identify and replace non-STE words with approved alternatives,insert the fork.,push in the fork.
Identify and replace non-STE words with approved alternatives,"if you observe oil in the drain, stop the test.","if you see oil in the drain, stop the test."
Identify and replace non-STE words with approved alternatives,the diameter of the tube is too little.,the diameter of the tube is too small.
Identify and replace non-STE words with approved alternatives,place the container beneath the drain plug.,put the container below the drain plug.
Identify and replace non-STE words with approved alternatives,"when the solenoid clicks, the valve is open.","when the solenoid makes a click, the valve is open."
Identify and replace non-STE words with approved alternatives,the couplings must be transferred to the new unit.,move the couplings to the new unit.
Identify and replace non-STE words with approved alternatives,shifters are mechanisms for changing gears on the bicycle.,the shifters are the mechanisms that you use to change the gears on the bicycle.
Identify and replace non-STE words with approved alternatives,do a review of the damaged area.,do an inspection of the damaged area.
Identify and replace non-STE words with approved alternatives,the usage of incorrect thinners can cause problems.,do not use incorrect thinners. this can cause problems.
Identify and replace non-STE words with approved alternatives,move the tube to see if its inner connection is tight.,move the tube to make sure that its inner connection is tight.
Identify and replace non-STE words with approved alternatives,"should the bracket foul the cam, add a shim washer.","if the bracket touches the cam, add a shim washer."
Identify and replace non-STE words with approved alternatives,exhaust all the hydraulic pressure in the accumulator.,release the hydraulic pressure in the accumulator.
Identify and replace non-STE words with approved alternatives,each electrical system has a code to differentiate it.,each electrical system has a code to identify it.
Identify and replace non-STE words with approved alternatives,"if you decide not to replace the existing unit, watch its temperature for at least 15 cycles.","if your decision is not to replace the unit, monitor its temperature for a minimum of 15 cycles."
Identify and replace non-STE words with approved alternatives,"once the unit is on its mounting, lock it.","when the unit is on its mounting, lock it."
Identify and replace non-STE words with approved alternatives,apply electrical power to either of the solenoids.,apply electrical power to one of the two solenoids.
Identify and replace non-STE words with approved alternatives,"if there is a breakdown in the pressure supply, cancel the test.","if the pressure supply stops, cancel the test."
Identify and replace non-STE words with approved alternatives,check the chain visually.,visually examine the chain.
Identify and replace non-STE words with approved alternatives,thread tape on the roller.,put tape on the roller.
Identify and replace non-STE words with approved alternatives,disconnect the cable from the back side of the instrument.,disconnect the cable from the rear side of the instrument.
Identify and replace non-STE words with approved alternatives,determine the percentage using the suitable formula.,calculate the percentage with the applicable formula.
Identify and replace non-STE words with approved alternatives,fit the light bulb to the front and back lights.,install the light bulb to the front and rear lights.
Identify and replace non-STE words with approved alternatives,confirm the door is flush with the fuselage skin.,make sure that the door is flush with the fuselage skin.
Identify and replace non-STE words with approved alternatives,pump air into the tube.,inflate the tube.
Identify and replace non-STE words with approved alternatives,build the unit.,assemble the unit
Identify and replace non-STE words with approved alternatives,make sure that the fuel tanks are uncontaminated.,make sure that there is no contamination in the fuel tanks.
Identify and replace non-STE words with approved alternatives,restart the unit.,start the unit again.
Identify and replace non-STE words with approved alternatives,apply sufficient heat to the unit in the process of doing this repair.,"during this repair, apply sufficient heat to the unit."
Identify and replace non-STE words with approved alternatives,ensure that the adhesion between the honeycomb core and the skin is exact.,make sure that the bond between the honeycomb core and the skin is correct.
Identify and replace non-STE words with approved alternatives,disperse dry air through the feed and spray tubes.,blow dry air through the feed and spray tubes.
Identify and replace non-STE words with approved alternatives,do steps 13 thru 16 at least three times.,do steps 13 thru 16 a minimum of three times.
Identify and replace non-STE words with approved alternatives,"if the circuit breaker pops, de-energize the circuit.","if the circuit breaker opens, de-energize the circuit."
Identify and replace non-STE words with approved alternatives,make sure that the doors are closed throughout the pressurization test.,make sure that the doors are closed during the pressurization test.
Identify and replace non-STE words with approved alternatives,"remove the nut and the bolt, and recover the washer.","remove the nut and the bolt, and collect the washer."
Identify and replace non-STE words with approved alternatives,"by means of the hand pump, pressurize the system to 150 bar.",pressurize the system to 150 bar with the hand pump.
Identify and replace non-STE words with approved alternatives,it can harm your eyes.,it can cause injury to your eyes.
Identify and replace non-STE words with approved alternatives,"after you put out the fire, close the valve on the fire extinguisher.","after you extinguish the fire, close the valve on the fire extinguisher."
Identify and replace non-STE words with approved alternatives,a fuel pump is mounted in zone 10.,a fuel pump is installed in zone 10.
Identify and replace non-STE words with approved alternatives,neither of the units must operate.,the two units must not operate.
Identify and replace non-STE words with approved alternatives,different temperatures will change the cure time.,"when the temperature increases, the cure time will decrease."
Identify and replace non-STE words with approved alternatives,"without this modification, the service life of the unit can be uncertain.","without this modification, it is possible that the service life of this unit will be shorter than usual."
Identify and replace non-STE words with approved alternatives,the build of the wing allows maximum fuel storage.,the wing structure gives maximum fuel capacity.
Identify and replace non-STE words with approved alternatives,fix the length of the control rod as required.,set the length of the control rod as necessary.
Identify and replace non-STE words with approved alternatives,make sure that you can hear the taped announcements.,make sure that you can hear the recorded announcements.
Identify and replace non-STE words with approved alternatives,deaerate the tire.,deflate the tire.
Identify and replace non-STE words with approved alternatives,the type typically used on most bicycles is the cantilever.,the one found on most bicycles is the cantilever.
Identify and replace non-STE words with approved alternatives,open the valve to admit nitrogen into the oleo strut.,open the valve to let nitrogen go into the oleo strut.
Identify and replace non-STE words with approved alternatives,mix the correct quantity of pigment proportional to the quantity of solvent.,mix the pigment and solvent in the correct proportions.
Identify and replace non-STE words with approved alternatives,remove all fouled filter elements.,remove all clogged filter elements.
Identify and replace non-STE words with approved alternatives,split casings must be replaced.,replace damaged casings.
Identify and replace non-STE words with approved alternatives,the major function of the power unit is to supply electrical power.,the primary function of the power unit is to supply electrical power.
Identify and replace non-STE words with approved alternatives,gently tap the flap surface.,lightly tap the flap surface.
Identify and replace non-STE words with approved alternatives,ensure that deflection is 23 deg.,make sure that the position is 23 deg.
Identify and replace non-STE words with approved alternatives,broadcast the data on both channels.,"rub the surface quickly with a soft, dry cloth."
Identify and replace non-STE words with approved alternatives,these computers garner data from the vhf system.,these computers collect data from the vhf system.
Identify and replace non-STE words with approved alternatives,the solvent is combustible.,the solvent is flammable.
Identify and replace non-STE words with approved alternatives,ensure that the pads are correctly mounted in the center of the inner diameter of the brake surface.,make sure that the pads are correctly installed in the center of the inner diameter of the brake surface.
Identify and replace non-STE words with approved alternatives,raise the wheel away from the frame.,lift the wheel away from the frame.
Identify and replace non-STE words with approved alternatives,there is a point of weakness in the strut.,there is a weak point in the strut.
Identify and replace non-STE words with approved alternatives,"if you do not follow this instruction, damage may happen.","if you do not obey this instruction, damage can occur."
Identify and replace non-STE words with approved alternatives,wash the brake pads.,clean the brake pads.
Identify and replace non-STE words with approved alternatives,the mounting pads dampen vibration.,the mounting pads decrease vibration.
Identify and replace non-STE words with approved alternatives,omit steps 3 to 5.,do not do steps 3 thru 5.
Identify and replace non-STE words with approved alternatives,the vanes may be damaged by using incorrect equipment.,"if you use incorrect equipment, you can cause damage to the vanes."
Identify and replace non-STE words with approved alternatives,attempt to pull the chain away from the front of the chain ring.,try to pull the chain away from the front of the chain ring.
Identify and replace non-STE words with approved alternatives,"if rough spots are encountered, remove them with emery cloth.","if there are rough areas, remove them with emery cloth."
Identify and replace non-STE words with approved alternatives,discharge pressure from the tanks.,release pressure from the tanks.
Identify and replace non-STE words with approved alternatives,the cap is separate from the coupling.,the cap is not attached to the coupling.
Identify and replace non-STE words with approved alternatives,take out the bearings.,remove the bearings.
Identify and replace non-STE words with approved alternatives,"at the beginning of the lever movement, the microswitch will operate.","when the lever starts to move, the microswitch operates."
Identify and replace non-STE words with approved alternatives,put barriers around all the potential danger areas.,put barriers around all the possible danger areas.
Identify and replace non-STE words with approved alternatives,turn the rotating tube 75 degrees.,turn the rotating tube 75 degrees.
Identify and replace non-STE words with approved alternatives,do an inspection every 20 000 flight hours.,do an inspection at intervals of 20 000 flight hours.
Identify and replace non-STE words with approved alternatives,ride the bicycle ahead.,ride forward the bicycle.
Identify and replace non-STE words with approved alternatives,make sure that the cables are not loose.,make sure that there is tension in the cables.
Identify and replace non-STE words with approved alternatives,a fuel and oxygen mixture may lead to an explosion.,a mixture of fuel and oxygen can cause an explosion.
Identify and replace non-STE words with approved alternatives,purge the system.,remove unwanted material from the system.
Identify and replace non-STE words with approved alternatives,recoil the probe wire back on the spool.,wind the probe wire back on the spool.
Identify and replace non-STE words with approved alternatives,rectify the tension.,correct the tension.
Identify and replace non-STE words with approved alternatives,restrict the use of these nuts to test only.,use these nuts only for the test.
Identify and replace non-STE words with approved alternatives,apply a slight force to compress the spring.,apply a light force to compress the spring.
Identify and replace non-STE words with approved alternatives,decide which hydraulic system you will pressurize.,select the hydraulic system that you will pressurize.
Identify and replace non-STE words with approved alternatives,make sure that the probe went through more than 500 degrees c.,make sure that the temperature of the probe increased to more than 500 degrees c.
Identify and replace non-STE words with approved alternatives,a cotter pin arrests the girt bar.,a cotter pin holds the girt bar.
Identify and replace non-STE words with approved alternatives,table 1 lists alternative adhesives that you can use.,table 1 shows alternative adhesives that you can use.
Identify and replace non-STE words with approved alternatives,the actuator is driven to zero.,the actuator moves to zero.
Identify and replace non-STE words with approved alternatives,"if the adjustment is incomplete, the values shown on the indicator will be incorrect.","if the adjustment is not completed, the values shown on the indicator will be incorrect."
Identify and replace non-STE words with approved alternatives,"if the filters clog at an unusually early stage, send them to the laboratory for analysis of the contamination.","if the filters become clogged after an unusually short time, send them to the laboratory for analysis of the contamination."
Identify and replace non-STE words with approved alternatives,check that the rods are adjusted correctly.,make sure that the rods are adjusted correctly.
Identify and replace non-STE words with approved alternatives,put the repair sheet exactly on the damaged area.,put the repair sheet accurately on the damaged area.
Identify and replace non-STE words with approved alternatives,strip the insulation from the wire.,remove the insulation from the wire.
Identify and replace non-STE words with approved alternatives,disassemble the bypass valve and the dump valve together.,disassemble the bypass valve and the dump valve at the same time.
Identify and replace non-STE words with approved alternatives,"if you have the option, do the inspection in daylight.","if possible, do the inspection in daylight."
Identify and replace non-STE words with approved alternatives,microswitches are activated by levers.,the levers operate the microswitches.
Identify and replace non-STE words with approved alternatives,"since the fluid level is incorrect, the system will not function.","because the fluid level is incorrect, the system will not operate."
Identify and replace non-STE words with approved alternatives,any request for assistance should be addressed to the manufacturer.,"if aid is necessary, write to the manufacturer."
Identify and replace non-STE words with approved alternatives,put a bag of desiccant in the package to eliminate condensation.,put a bag of desiccant in the package to stop condensation.
Identify and replace non-STE words with approved alternatives,apply the parking brake when the brakes have cooled.,operate the parking brake when the brakes are cool.
Identify and replace non-STE words with approved alternatives,cut the bracket to create a clearance.,cut the bracket to make a clearance.
Identify and replace non-STE words with approved alternatives,the volume control can be adjusted.,you can adjust the volume control.
Identify and replace non-STE words with approved alternatives,"if only partial extension of the flap occurs, do the test again.","if the flaps do not fully extend, do the test again."
Identify and replace non-STE words with approved alternatives,make sure that the end of the safety wire will not injure personnel.,make sure that the end of the safety wire will not cause injury to personnel.
Identify and replace non-STE words with approved alternatives,"if damage is assumed to be repairable, refer to the repair section.","if you think that you can repair the damage, refer to the repair section."
Identify and replace non-STE words with approved alternatives,make sure that the fuel tank is tight.,make sure that the fuel tank is sealed.
Identify and replace non-STE words with approved alternatives,the assembly processes are almost the same.,the assembly procedures are almost the same.
Identify and replace non-STE words with approved alternatives,unplug the power supply.,disconnect the power supply.
Identify and replace non-STE words with approved alternatives,arrest the flow for 10 seconds.,stop the flow for 10 seconds.
Identify and replace non-STE words with approved alternatives,take off the back wheel.,remove the rear wheel.
Identify and replace non-STE words with approved alternatives,"if you have any questions about this document, send an e-mail to the address that follows:","if you have questions about this document, send an e-mail to the address that follows:"
Identify and replace non-STE words with approved alternatives,no leaks permitted.,make sure that there are no leaks.
Identify and replace non-STE words with approved alternatives,brake levers are also located on the handlebar.,the brake levers are also on the handle bar.
Identify and replace non-STE words with approved alternatives,there must be no irregularities in the surface finish.,there must be no defects in the surface finish.
Identify and replace non-STE words with approved alternatives,unscrew the captive bolts.,loosen the captive bolts.
Identify and replace non-STE words with approved alternatives,transport the part to the overhaul shop.,send the part to the overhaul shop.
Identify and replace non-STE words with approved alternatives,never allow the level in the tank to drop below half.,do not let the level in the tank decrease to less than half.
Identify and replace non-STE words with approved alternatives,fluid accumulates in the bottom of the cowling.,fluid collects in the bottom of the cowling.
Identify and replace non-STE words with approved alternatives,shift the throttle backward.,move the throttle aft.
Identify and replace non-STE words with approved alternatives,it is vital to set the indicator back to zero after the test.,"after the test, it is mandatory to set the indicator back to zero."
Identify and replace non-STE words with approved alternatives,bend the pipe cautiously.,bend the pipe carefully.
Identify and replace non-STE words with approved alternatives,this procedure entails the use of special tools.,"for this procedure, you must use special tools."
Identify and replace non-STE words with approved alternatives,get the supervisor to certify the repair.,get approval from your supervisor for the repair.
Identify and replace non-STE words with approved alternatives,press the brake levers.,push the brake levers.
Identify and replace non-STE words with approved alternatives,do not strike the cartridge.,do not hit the cartridge.
Identify and replace non-STE words with approved alternatives,allow the bicycle to dry.,let the bicycle dry.
Identify and replace non-STE words with approved alternatives,the ship certificate should meet all the authories' requirements.,the ship certificate must comply with all the requirements of the authorities.
Identify and replace non-STE words with approved alternatives,carry out the leak test.,do the leak test.
Identify and replace non-STE words with approved alternatives,inspect the chain.,do the checks on the chain.
Identify and replace non-STE words with approved alternatives,the main landing gear doors are designed with steps for access to landing gear bay.,the main landing gear doors have steps for access to the landing gear bay.
Identify and replace non-STE words with approved alternatives,can be a maximum of five inches long.,cracks can have a maximum length of five inches.
Identify and replace non-STE words with approved alternatives,"if the carpet is stained, clean it with the material number 8.","if the carpet is dirty, clean it with material number 8."
Identify and replace non-STE words with approved alternatives,the clearing tool can be manufactured locally.,you can make the clearing tool locally.
Identify and replace non-STE words with approved alternatives,"when the engine speed decays to 500 rpm, stop the engine.","when the engine speed decreases to 500 rpm, stop the engine."
Identify and replace non-STE words with approved alternatives,"if the engine appears to be too hot, turn the switch to off.","if you think that the engine is too hot, turn the switch to ""off""."
Identify and replace non-STE words with approved alternatives,get access via number 6 break-in panel.,get access through the number 6 break-in panel.
Identify and replace non-STE words with approved alternatives,guide the cable through the grommet.,put the cable through the grommet.
Identify and replace non-STE words with approved alternatives,"if the trim tab regulation is wrong, perform steps 7 thru 10.","if the trim tab adjustment is incorrect, do steps 7 thru 10."
Identify and replace non-STE words with approved alternatives,recoil the gun barrel.,move the barrel of the gun to the recoil position.
Identify and replace non-STE words with approved alternatives,harmonize the centerline on the flux valve.,align the centerline on the flux valve.
Identify and replace non-STE words with approved alternatives,"when you stop the power supply, the temperature will decrease soon.","when you stop the power supply, the temperature will decrease in approximately 1 minute."
Identify and replace non-STE words with approved alternatives,do not substitute the self-locking nuts with plain nuts.,do not replace the self-locking nuts with plain nuts.
Rewrite the following sentence in a Simplified Technical English format.,centralize the controls.,set the controls to the neutral position.
Rewrite the following sentence in a Simplified Technical English format.,"if the movement of the needle is sluggish, replace the sensor.","if the movement of the needle is too slow, replace the sensor."
Rewrite the following sentence in a Simplified Technical English format.,apply the load along the axis.,apply the load axially.
Rewrite the following sentence in a Simplified Technical English format.,confirm that the surface is dry.,make sure that the surface is dry.
Rewrite the following sentence in a Simplified Technical English format.,press down the valve stem core to deaerate.,push the valve stem core down to bleed all the air.
Rewrite the following sentence in a Simplified Technical English format.,ensure that the glued area is larger than the patch.,make sure that the area with the glue is larger than the patch.
Rewrite the following sentence in a Simplified Technical English format.,fill the cavity between the patch and the adjacent structure with sealant.,fill the space between the patch and the adjacent structure with sealant.
Rewrite the following sentence in a Simplified Technical English format.,"if the drain hole is obstructed, clean it.","if the drain hole is clogged, clean it."
Rewrite the following sentence in a Simplified Technical English format.,"if the speech is not audible, replace the unit.","if you cannot hear the voice, replace the unit."
Rewrite the following sentence in a Simplified Technical English format.,you can use the spoke nipples to manipulate the tension of the spokes.,you can use the spoke nipples to adjust the tension of the spokes.
Rewrite the following sentence in a Simplified Technical English format.,make sure that the green light on the panel extinguishes.,make sure that the green light on the panel is off.
Rewrite the following sentence in a Simplified Technical English format.,whoever is in this area must use a respirator.,all persons who are in this area must use a respirator.
Rewrite the following sentence in a Simplified Technical English format.,the slide returns to the original position,the slide goes back to its initial position.
Rewrite the following sentence in a Simplified Technical English format.,mask the sealing compound.,apply the sealing compound.
Rewrite the following sentence in a Simplified Technical English format.,type b employs a loose collar.,type b uses a loose collar.
Rewrite the following sentence in a Simplified Technical English format.,dampen the cloth with solvent.,make the cloth moist with solvent.
Rewrite the following sentence in a Simplified Technical English format.,use another washer if necessary.,add a washer if necessary.
Rewrite the following sentence in a Simplified Technical English format.,the life of the unit is impaired if the unit is allowed to get dirty.,the life of the unit will decrease if you let the unit become dirty.
Rewrite the following sentence in a Simplified Technical English format.,wash the bicycle with water to remove all dirt.,clean the bicycle with water to remove all dirt.
Rewrite the following sentence in a Simplified Technical English format.,the pressure is elevated.,pressure is high.
Rewrite the following sentence in a Simplified Technical English format.,hold-on switch trips.,the hold-on switch releases.
Rewrite the following sentence in a Simplified Technical English format.,the system is entirely automatic.,the system is fully automatic.
Rewrite the following sentence in a Simplified Technical English format.,replace the faulty control unit.,replace the unserviceable control unit.
Rewrite the following sentence in a Simplified Technical English format.,the engine and all ancillary equipment use the same lubricant.,the engine and all auxiliary equipment use the same lubricant.
Rewrite the following sentence in a Simplified Technical English format.,make sure that there is no interference between the rods and the flaps.,make sure that the rods cannot catch on the flaps.
Rewrite the following sentence in a Simplified Technical English format.,do this job in a clean area.,do this task in a clean area.
Rewrite the following sentence in a Simplified Technical English format.,"if possible, ground run the engine to confirm the indications.","if possible, do an engine ground run to make sure that you get the same indications."
Rewrite the following sentence in a Simplified Technical English format.,there must be no irregularities in the surface finish.,there must be no damage to the surface finish.
Rewrite the following sentence in a Simplified Technical English format.,it is common practice to tighten the bolts in this sequence.,it is standard procedure to tighten the bolts in this sequence.
Rewrite the following sentence in a Simplified Technical English format.,blot the surface with a towel.,dry the surface with a towel.
Rewrite the following sentence in a Simplified Technical English format.,hand-tighten the swivel nut.,tighten the swivel nut with your hand.
Rewrite the following sentence in a Simplified Technical English format.,the elevator controls must function smoothly.,the elevator controls must operate smoothly.
